episodes,rewards,steps
417,144.0,144
418,200.0,200
419,190.0,190
420,29.0,29
421,200.0,200
422,116.0,116
423,200.0,200
424,107.0,107
425,128.0,128
426,164.0,164
427,30.0,30
428,122.0,122
429,110.0,110
430,105.0,105
431,137.0,137
432,110.0,110
433,111.0,111
434,33.0,33
435,100.0,100
436,131.0,131
437,99.0,99
438,118.0,118
439,98.0,98
440,119.0,119
441,41.0,41
442,107.0,107
443,41.0,41
444,113.0,113
445,113.0,113
446,117.0,117
447,140.0,140
448,133.0,133
449,108.0,108
450,117.0,117
451,40.0,40
452,108.0,108
453,140.0,140
454,133.0,133
455,115.0,115
456,30.0,30
457,119.0,119
458,160.0,160
459,125.0,125
460,161.0,161
461,139.0,139
462,190.0,190
463,149.0,149
464,173.0,173
465,165.0,165
466,82.0,82
467,197.0,197
468,200.0,200
469,200.0,200
470,200.0,200
471,182.0,182
472,118.0,118
473,200.0,200
474,200.0,200
475,93.0,93
476,200.0,200
477,200.0,200
478,167.0,167
479,200.0,200
480,200.0,200
481,200.0,200
482,190.0,190
483,86.0,86
484,166.0,166
485,200.0,200
486,200.0,200
487,172.0,172
488,200.0,200
489,102.0,102
490,194.0,194
491,200.0,200
492,179.0,179
493,187.0,187
494,200.0,200
495,89.0,89
496,169.0,169
497,28.0,28
498,160.0,160
499,140.0,140
500,37.0,37
501,32.0,32
502,129.0,129
503,22.0,22
504,124.0,124
505,24.0,24
506,115.0,115
507,24.0,24
508,38.0,38
509,24.0,24
510,23.0,23
511,125.0,125
512,22.0,22
513,24.0,24
514,20.0,20
515,25.0,25
516,31.0,31
517,23.0,23
518,30.0,30
519,101.0,101
520,25.0,25
521,22.0,22
522,20.0,20
523,16.0,16
524,104.0,104
525,17.0,17
526,108.0,108
527,121.0,121
528,29.0,29
529,29.0,29
530,43.0,43
531,105.0,105
532,130.0,130
533,30.0,30
534,31.0,31
535,30.0,30
536,37.0,37
537,115.0,115
538,110.0,110
539,112.0,112
540,33.0,33
541,120.0,120
542,109.0,109
543,122.0,122
544,115.0,115
545,34.0,34
546,28.0,28
547,29.0,29
548,113.0,113
549,100.0,100
550,26.0,26
551,24.0,24
552,26.0,26
553,102.0,102
554,18.0,18
555,107.0,107
556,27.0,27
